County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Menard County, Illinois	Menard County			91	204	4186	1820	200	6040	12575	4221	0.901098901	0.098901099	0.000662252		34.9	0	Illinois		
Mercer County, Illinois	Mercer County	0	5	163	272	2849	3000	295	7430	15970	4425	0.858895706	0.141104294	0	0			Illinois	2	0
Monroe County, Illinois	Monroe County	0	5	131	807	3909	6020	980	17075	33705	11044	0.954198473	0.045801527	0.006149341	0	31	0	Illinois	2	0
Montgomery County, Illinois	Montgomery County	1	9	264	691	3024	6530	365	9840	29300	3324	0.897727273	0.102272727	0.00254065	0	110.2	0	Illinois		
Morgan County, Illinois	Morgan County	1	3	233	840	3779	11680	595	15580	34800	3905	0.927038627	0.072961373	0.00224647	0	94.2	0	Illinois		
Moultrie County, Illinois	Moultrie County	0	3	164	317	3153	3645	385	6815	14915	3175	0.957317073	0.042682927	0.000586941	0	40.8	0	Illinois		
Ogle County, Illinois	Ogle County	1	13	378	1060	11903	12050	1175	24515	52035	12465	0.962962963	0.037037037	0.004038344	0	126.9	0	Illinois		
Peoria County, Illinois	Peoria County	1	6	351	4373	14124	69600	2480	84170	186820	14556	0.780626781	0.219373219	0.024533682	1	150	0	Illinois	8	0
Perry County, Illinois	Perry County	1	6	131	405	3583	4370	190	8150	21595	3776	0.969465649	0.030534351	0.005521472	0	82.8	18.5	Illinois		
Piatt County, Illinois	Piatt County	0	8	246	329	5287	3055	290	8380	16470	5325	0.947154472	0.052845528	0.007756563	0	67.5	5.4	Illinois		
Pike County, Illinois	Pike County	1	3	333	351	1644	4495	315	6965	16055	2473	0.918918919	0.081081081	0.00143575	0	64.2	0	Illinois	0	0
Pope County, Illinois	Pope County			86	57	526	470	60	1265	4255	805	0.941860465	0.058139535	0.007905138		11.5	0	Illinois		
Pulaski County, Illinois	Pulaski County	0	2	106	87	776	830	95	1885	5790	1071	0.896226415	0.103773585	0.00530504	0	21.1	18	Illinois	3	0
Putnam County, Illinois	Putnam County	0	3	51	126	1834	1070	70	2905	5745	1862	0.843137255	0.156862745	0	0	22.4	0	Illinois	3	0
Randolph County, Illinois	Randolph County	1	5	149	661	2815	9070	370	13235	32935	4179	0.932885906	0.067114094	0.000604458	0	115.9	0	Illinois	4	0
Richland County, Illinois	Richland County	1	1	150	465	1462	5415	205	7140	16070	1725	0.92	0.08	0.004201681	0	21.7	0	Illinois		
Rock Island County, Illinois	Rock Island County	0	7	275	3077	1977	49045	1725	67155	146535	18116	0.930909091	0.069090909	0.017005435	1	66.2	0	Illinois	2	0
Saline County, Illinois	Saline County	1	2	185	574	2704	6390	190	9425	24660	3041	0.940540541	0.059459459	0.003076923	0	24.3	0	Illinois		
Sangamon County, Illinois	Sangamon County	0	9	458	5009	5094	89140	3390	94645	198640	5502	0.956331878	0.043668122	0.015309842	1	158.8	34.5	Illinois		
Schuyler County, Illinois	Schuyler County	1	0	112	150	1599	1370	135	2955	7205	1603	0.892857143	0.107142857	0.010152284	0	12.3	0	Illinois	0	0
Scott County, Illinois	Scott County			99	77	1411	870	80	2290	5170	1437	0.929292929	0.070707071	0.004366812		18.4	0	Illinois	1	0
Shelby County, Illinois	Shelby County	1	5	341	419	5202	4885	400	10190	22010	5285	0.882697947	0.117302053	0.001373896	0	49.7	4.8	Illinois		
St. Clair County, Illinois	St. Clair County	1	14	486	5243	13195	73765	3820	117740	265570	43952	0.930041152	0.069958848	0.042381519	0	203.8	16.3	Illinois	11	0
Stark County, Illinois	Stark County	0	4	93	119	1337	1140	185	2505	5840	1360	0.924731183	0.075268817	0.001596806	0	6	0	Illinois		
Stephenson County, Illinois	Stephenson County	1	8	341	1054	3767	15635	1040	21205	46285	5569	0.947214076	0.052785924	0.003772695	0	32.6	1.3	Illinois		
Tazewell County, Illinois	Tazewell County	1	5	360	2817	26577	37185	1860	64125	135400	26942	0.883333333	0.116666667	0.005146199	0	93.8	0	Illinois	4	0
Union County, Illinois	Union County	0	5	200	370	2862	3885	360	7310	17460	3429	0.95	0.05	0.00752394	0	40.4	22.5	Illinois		
Vermilion County, Illinois	Vermilion County	1	9	493	1426	4022	26380	965	31700	79615	5324	0.910750507	0.089249493	0.006908517	0	125.4	0	Illinois		
Wabash County, Illinois	Wabash County	0	2	91	260	796	2875	220	5185	11585	2296	0.934065934	0.065934066	0.000771456	0	23.6	0	Illinois		
Warren County, Illinois	Warren County	1	2	199	374	2365	5335	445	8025	17610	2705	0.959798995	0.040201005	0.004361371	0	44.7	39.2	Illinois		
Washington County, Illinois	Washington County	0	2	234	377	2834	3920	300	7045	14370	3132	0.94017094	0.05982906	0.002838893	0	45.8	20.5	Illinois		
Wayne County, Illinois	Wayne County	1	2	264	377	2534	4615	410	7340	16515	2708	0.90530303	0.09469697	0.010899183	0	30.2	0	Illinois		
White County, Illinois	White County	1	2	212	381	1108	3675	165	5770	14410	2095	0.891509434	0.108490566	0.00779896	0	21.5	0	Illinois		
Whiteside County, Illinois	Whiteside County	1	6	277	1222	5465	17720	630	26205	57155	8467	0.924187726	0.075812274	0.004579279	0	64.5	0	Illinois		
Will County, Illinois	Will County	4	12	645	15417	163049	163535	14085	331755	685380	168149	0.888372093	0.111627907	0.038642974	0	226.7	73.2	Illinois	19	0
Williamson County, Illinois	Williamson County	0	3	200	1613	8677	19395	1010	28465	67335	9078	0.95	0.05	0.003864395	1	67.4	0	Illinois		
Winnebago County, Illinois	Winnebago County	0	22	469	6402	15985	107335	4320	129505	288895	22161	0.931769723	0.068230277	0.012231188	1	72.2	0	Illinois		
Woodford County, Illinois	Woodford County	0	9	216	761	10935	7405	660	18495	39125	11085	0.898148148	0.101851852	0.00486618	0	28	0	Illinois		
Adams County, Indiana	Adams County	0	4	192	743	3967	10235	625	14800	34815	4564	0.989583333	0.010416667	0.00027027	0	6.5	0	Indiana		
Allen County, Indiana	Allen County	2	18	601	9192	14287	153915	7065	170280	365565	16367	0.930116473	0.069883527	0.007928118	1	133	0	Indiana		
Bartholomew County, Indiana	Bartholomew County	1	4	264	1884	5663	33035	930	38945	80205	5888	0.946969697	0.053030303	0.005623315	0	22.3	0	Indiana		
Benton County, Indiana	Benton County	0	3	151	173	2082	1850	240	4040	8710	2187	0.953642384	0.046357616	0.005940594	0	53	0	Indiana		
Blackford County, Indiana	Blackford County	0	3	75	244	2618	2540	120	5180	12365	2636	0.973333333	0.026666667	0.003861004	0	16.9	0	Indiana		
Boone County, Indiana	Boone County	1	4	286	1525	17978	12565	1600	30910	61885	18327	0.905594406	0.094405594	0.001941119	0	23.4	4.6	Indiana		
Brown County, Indiana	Brown County	0	1	113	348	4245	2510	270	6855	14965	4349	0.840707965	0.159292035	0.002917578	0	11.3	0	Indiana		
Carroll County, Indiana	Carroll County	2	2	162	396	6030	3135	320	9215	20005	6073	0.987654321	0.012345679	0.000434075	0	28.7	0	Indiana		
Cass County, Indiana	Cass County	2	1	186	679	5193	11900	340	17165	38325	5282	0.97311828	0.02688172	0.007573551	0	55.3	0	Indiana		
Clark County, Indiana	Clark County	1	2	251	2495	8293	27470	1605	54320	113995	26847	0.984063745	0.015936255	0.007824006	0	50.2	0	Indiana	2	0
Clay County, Indiana	Clay County	1	2	195	473	6261	5495	280	11860	26570	6366	0.871794872	0.128205128	0.000337268	0	13.9	0	Indiana		
Clinton County, Indiana	Clinton County	1	1	212	611	6397	8380	445	14870	32690	6496	0.919811321	0.080188679	0.000672495	0	41.2	0	Indiana		
Crawford County, Indiana	Crawford County	0	1	121	143	2192	1545	95	4280	10580	2729	0.785123967	0.214876033	0.002336449	0	25.2	0	Indiana		
Daviess County, Indiana	Daviess County	1	0	221	925	4362	9675	390	14305	32585	4615	0.986425339	0.013574661	0.004543866	0	60.4	0	Indiana		
Dearborn County, Indiana	Dearborn County	0	3	146	936	1958	10435	695	24370	49550	13949	0.876712329	0.123287671	0.005744768	0	46.2	0	Indiana		
Decatur County, Indiana	Decatur County	1	2	217	627	3445	9080	375	12690	26340	3620	0.903225806	0.096774194	0.005122143	0	20.7	0	Indiana		
DeKalb County, Indiana	DeKalb County	1	7	147	976	7246	12345	485	19990	42490	7650	0.993197279	0.006802721	0.0010005	0	58.4	20.2	Indiana		
Delaware County, Indiana	Delaware County	1	7	275	2455	9127	41205	1480	50780	116465	9546	0.927272727	0.072727273	0.017920441	0	65.9	0	Indiana		
Dubois County, Indiana	Dubois County	2	1	218	1290	2684	18780	880	21760	42345	2979	0.958715596	0.041284404	0.001378676	0	50.4	2.7	Indiana		
Elkhart County, Indiana	Elkhart County	3	5	276	4949	10296	79365	2680	91205	201640	11833	0.938405797	0.061594203	0.004385724	0	64.6	25.7	Indiana		
Fayette County, Indiana	Fayette County	1	2	100	446	3312	5690	285	9375	23610	3681	0.87	0.13	0.0048	0	29.9	24.9	Indiana		
Floyd County, Indiana	Floyd County	0	1	143	1873	8559	15250	1415	36990	76290	21741	0.937062937	0.062937063	0.008245472	0	11.3	0	Indiana		
Fountain County, Indiana	Fountain County	0	5	196	310	2916	3505	235	7265	16740	3750	0.882653061	0.117346939	0.004129387	0	9	0	Indiana		
Franklin County, Indiana	Franklin County	0	1	155	431	3762	3355	440	10765	22885	7428	0.870967742	0.129032258	0	0	31.7	9.7	Indiana		
Fulton County, Indiana	Fulton County	1	3	83	462	3900	5060	475	9095	20410	4031	0.939759036	0.060240964	0.003298516	0	7.2	0	Indiana		
Gibson County, Indiana	Gibson County	0	4	359	711	4674	10820	410	15805	33685	4997	0.963788301	0.036211699	0.004428978	0	90.3	0	Indiana		
Grant County, Indiana	Grant County	1	2	276	1291	4792	23930	1555	28845	68270	4911	0.985507246	0.014492754	0.002426764	0	65.9	0	Indiana		
Greene County, Indiana	Greene County	0	5	239	562	7738	6150	125	13975	32635	7817	0.89539749	0.10460251	0.004293381	0	85.8	0	Indiana		
Hamilton County, Indiana	Hamilton County	1	12	428	9057	75233	79655	11325	157155	303040	77403	0.988317757	0.011682243	0.001845312	0	20.9	20.9	Indiana		
Hancock County, Indiana	Hancock County	1	9	199	1430	21610	13470	1700	35450	71955	21980	0.974874372	0.025125628	0	0	15.9	8.9	Indiana		
Harrison County, Indiana	Harrison County	0	5	124	694	4942	8090	720	17885	39370	9797	1	0	0.002180598	0	24.9	7.8	Indiana		
Hendricks County, Indiana	Hendricks County	1	15	342	3293	45319	31680	3200	78170	155815	46343	0.947368421	0.052631579	0.000639632	0	46.7	17.2	Indiana		
Henry County, Indiana	Henry County	1	6	205	834	9126	10115	715	19515	48955	9390	0.96097561	0.03902439	0.002305919	0	29.4	0	Indiana		
Howard County, Indiana	Howard County	1	6	192	1780	6782	28625	1095	35580	82730	6942	0.932291667	0.067708333	0.003653738	0	20.5	0	Indiana		
Huntington County, Indiana	Huntington County	1	3	184	901	6356	11330	670	17815	36695	6496	0.97826087	0.02173913	0.003087286	0	29.6	0	Indiana		
Jackson County, Indiana	Jackson County	1	2	315	1006	5214	14630	400	20025	43635	5391	0.936507937	0.063492063	0.003245943	0	50.9	0	Indiana		
Jasper County, Indiana	Jasper County	1	4	189	773	5548	8725	430	14855	33460	6143	0.973544974	0.026455026	0.005048805	0	49	21.9	Indiana		
Jay County, Indiana	Jay County	1	0	191	404	2337	6450	435	9405	21195	2954	0.958115183	0.041884817	0.005316321	0	27.8	0	Indiana		
Jefferson County, Indiana	Jefferson County	1	3	147	658	2024	10365	540	14100	32480	3738	0.965986395	0.034013605	0.003900709	0	12.7	0	Indiana	0	0
Jennings County, Indiana	Jennings County	1	2	159	406	6273	6415	340	12780	28025	6361	0.899371069	0.100628931	0.004303599	0	31.4	0	Indiana		
Johnson County, Indiana	Johnson County	1	9	217	3168	38619	32285	2830	72130	147565	39849	0.930875576	0.069124424	0.002495494	0	46.2	0	Indiana		
Knox County, Indiana	Knox County	0	9	285	877	3140	14210	375	18055	37955	3851	0.954385965	0.045614035	0.003323179	0	55.9	0	Indiana		
Kosciusko County, Indiana	Kosciusko County	5	6	151	1979	8214	28610	1230	37125	78460	8502	0.927152318	0.072847682	0.001723906	0	85.4	0	Indiana		
LaGrange County, Indiana	LaGrange County	0	4	100	852	5693	9195	935	15865	38395	6655	0.99	0.01	0.00378191	0	4.1	0	Indiana		
Lake County, Indiana	Lake County	1	17	491	10090	14577	143155	4925	209790	489700	66513	0.930753564	0.069246436	0.029310263	0	276.6	62.8	Indiana	8	0
LaPorte County, Indiana	LaPorte County	2	6	226	2314	11085	32080	1590	46550	110995	14471	0.977876106	0.022123894	0.009344791	0	185.4	63.5	Indiana	0	0
Lawrence County, Indiana	Lawrence County	1	1	165	934	7252	12975	620	20385	45695	7387	0.933333333	0.066666667	0.001716949	0	25	0	Indiana		
Madison County, Indiana	Madison County	1	6	297	2264	21315	33040	1800	54725	129860	21658	0.976430976	0.023569024	0.001918684	0	82.3	0	Indiana		
Marion County, Indiana	Marion County	1	18	942	23438	79774	355320	13535	437920	932140	82470	0.942675159	0.057324841	0.019204421	1	140.7	38.1	Indiana		
Marshall County, Indiana	Marshall County	2	11	185	1058	6801	13535	575	20640	46835	7109	0.951351351	0.048648649	0.002422481	0	90.9	0	Indiana		
Martin County, Indiana	Martin County			104	205	2168	2535	185	4730	10220	2193	0.865384615	0.134615385	0.002114165		18.3	0	Indiana		
Miami County, Indiana	Miami County	2	4	172	597	7089	7315	275	14480	36095	7180	0.895348837	0.104651163	0.003107735	0	15.9	0	Indiana		
Monroe County, Indiana	Monroe County	2	1	227	3122	6896	61575	2865	69030	143290	7369	0.969162996	0.030837004	0.038157323	0	25.3	0	Indiana		
Montgomery County, Indiana	Montgomery County	1	3	253	853	4325	12975	435	17585	38110	4619	0.936758893	0.063241107	0.002274666	0	41.7	24.5	Indiana		
Morgan County, Indiana	Morgan County	0	15	225	1212	19729	12770	965	32740	69505	19960	0.937777778	0.062222222	0.001221747	0	31.3	0	Indiana		
Newton County, Indiana	Newton County	1	3	168	242	3302	2255	115	6210	14020	3961	0.958333333	0.041666667	0.010466989	0	23.5	6.8	Indiana		
Noble County, Indiana	Noble County	1	8	90	881	8698	12815	635	21830	47585	9005	0.888888889	0.111111111	0	0	50.1	24.6	Indiana		
Ohio County, Indiana	Ohio County	0	1	41	75	1044	815	25	2850	6005	2033	0.951219512	0.048780488	0	0			Indiana		
Orange County, Indiana	Orange County	3	1	135	387	2443	5615	400	8370	19580	2768	0.874074074	0.125925926	0.001792115	0	7.2	7.2	Indiana		
Owen County, Indiana	Owen County	0	2	148	315	5305	3875	175	9255	21040	5375	0.851351351	0.148648649	0.010264722	0	24	0	Indiana		
Parke County, Indiana	Parke County	0	3	202	266	3534	2925	315	6620	17035	3701	0.861386139	0.138613861	0.004531722	0	5.2	0	Indiana		
Perry County, Indiana	Perry County	1	1	148	362	2197	5145	155	8140	19300	2988	0.966216216	0.033783784	0.001719902	0	4.9	0	Indiana	1	0
Pike County, Indiana	Pike County	0	2	172	190	3336	2395	105	5840	12555	3452	0.912790698	0.087209302	0.001712329	0	53.5	0	Indiana		
Porter County, Indiana	Porter County	1	7	272	3564	27606	42570	2770	77010	167015	34423	0.908088235	0.091911765	0.013829373	0	131.6	49.7	Indiana	7	0
Posey County, Indiana	Posey County	0	13	209	512	6167	5680	315	12135	25525	6457	0.923444976	0.076555024	0.000329625	0	39.8	0	Indiana	6	0
Pulaski County, Indiana	Pulaski County	1	5	102	310	2156	3560	230	5725	12910	2180	0.931372549	0.068627451	0.001746725	0	11.6	0	Indiana		
Putnam County, Indiana	Putnam County	1	10	290	717	5676	9930	360	15740	37625	5806	0.813793103	0.186206897	0.00025413	0	47.4	0	Indiana		
Randolph County, Indiana	Randolph County	1	0	254	477	4263	5710	450	11140	25405	5437	0.921259843	0.078740157	0.00448833	0	21.8	0	Indiana		
Ripley County, Indiana	Ripley County	0	4	191	651	4910	6240	510	13160	28635	6934	0.937172775	0.062827225	0.002659574	0	30.1	0	Indiana		
Rush County, Indiana	Rush County	0	5	227	361	4113	3435	335	7575	16875	4131	0.911894273	0.088105727	0.00330033	0	23.2	18.3	Indiana		
Scott County, Indiana	Scott County	0	1	116	400	4200	5355	300	10360	23735	5000	0.974137931	0.025862069	0	0	12.2	0	Indiana		
Shelby County, Indiana	Shelby County	1	10	248	937	8368	12515	570	21110	44405	8547	0.923387097	0.076612903	0.00208432	0	31.6	8.8	Indiana		
Spencer County, Indiana	Spencer County	0	1	247	404	4237	4320	330	9700	20775	5376	0.975708502	0.024291498	0.001546392	0	40	0	Indiana	2	0
St. Joseph County, Indiana	St. Joseph County	0	10	228	5840	19096	97605	4305	121365	267695	23710	0.925438596	0.074561404	0.016108433	1	80.4	38.7	Indiana		
Starke County, Indiana	Starke County	2	5	87	310	5073	4150	325	9395	23070	5256	0.91954023	0.08045977	0.00266099	0	31.8	0	Indiana		
Steuben County, Indiana	Steuben County	5	8	135	968	4551	10465	560	16290	34280	5831	0.992592593	0.007407407	0.002455494	0	39.1	0	Indiana		
Sullivan County, Indiana	Sullivan County	1	3	216	334	3442	4445	115	8245	21025	3810	0.916666667	0.083333333	0.001819284	0	73.7	0	Indiana		
Switzerland County, Indiana	Switzerland County	0	2	62	128	1114	1760	240	4355	10485	2597	0.870967742	0.129032258	0.000918485	0			Indiana	1	0
Tippecanoe County, Indiana	Tippecanoe County	1	10	322	3652	7041	78415	2480	86140	183395	7688	0.925465839	0.074534161	0.03407244	0	89.2	26.5	Indiana		
Tipton County, Indiana	Tipton County	0	3	112	302	3856	3300	170	7195	15445	3901	1	0	0.002779708	0	32	4.9	Indiana		
Union County, Indiana	Union County	1	1	57	118	1003	940	130	3305	7250	2357	0.929824561	0.070175439	0.001210287	0	30.7	16.4	Indiana		
Vanderburgh County, Indiana	Vanderburgh County	0	6	277	5066	10662	72825	2100	85805	181690	12961	0.974729242	0.025270758	0.018169104	1	62.1	0	Indiana	4	0
Vermillion County, Indiana	Vermillion County	0	4	127	268	3000	2465	135	6375	15750	3904	0.937007874	0.062992126	0.00627451	0	47.6	0	Indiana		
Vigo County, Indiana	Vigo County	1	4	294	2470	4214	41140	1180	46365	108100	5211	0.955782313	0.044217687	0.010352637	0	97.7	0	Indiana		
Wabash County, Indiana	Wabash County	2	1	193	736	3751	10775	405	14605	32175	3841	0.932642487	0.067357513	0.007189319	0	51.4	0	Indiana		
Warren County, Indiana	Warren County	0	3	133	126	2107	1345	135	3920	8310	2578	0.909774436	0.090225564	0.003571429	0	29	0	Indiana		
Warrick County, Indiana	Warrick County	1	4	196	1166	17774	10430	685	29450	61425	19012	0.943877551	0.056122449	0.002886248	0	55.7	0	Indiana	2	0
Washington County, Indiana	Washington County	1	6	174	460	4660	5525	565	11710	27790	6186	0.965517241	0.034482759	0.001622545	0			Indiana		
Wayne County, Indiana	Wayne County	2	1	345	1456	3079	23380	850	28235	67425	4874	0.953623188	0.046376812	0.004958385	0	43.1	0	Indiana		
Wells County, Indiana	Wells County	0	8	156	634	5491	7845	510	13390	27835	5545	0.91025641	0.08974359	0.000746826	0	39.1	0	Indiana		
White County, Indiana	White County	2	2	216	596	4517	6455	445	11145	24265	4690	0.972222222	0.027777778	0.0017048	0	67.3	27.3	Indiana		
Whitley County, Indiana	Whitley County	0	7	115	687	8276	7845	560	16290	33355	8448	0.982608696	0.017391304	0.002148557	0	35.4	0	Indiana		
Adair County, Iowa	Adair County	1	2	317	200	1543	2080	240	3660	7330	1585	0.80126183	0.19873817	0.005464481	0	7.7	0	Iowa		
Adams County, Iowa	Adams County	1	0	186	107	753	1150	115	1905	3820	765	0.704301075	0.295698925	0.007874016	0	25.8	25.8	Iowa		
Allamakee County, Iowa	Allamakee County	1	1	196	390	1411	4285	365	6815	14000	2541	0.87244898	0.12755102	0.002934703	0	40.2	0	Iowa	1	0
Appanoose County, Iowa	Appanoose County	1	1	193	304	1251	4185	265	5565	12600	1391	0.715025907	0.284974093	0.001796945	0	45.2	0	Iowa		
Audubon County, Iowa	Audubon County	1	1	219	187	984	1865	190	2900	5795	1034	0.876712329	0.123287671	0.003448276	0			Iowa		
Benton County, Iowa	Benton County	2	1	366	554	7613	5245	630	12955	25720	7709	0.808743169	0.191256831	0.001466615	0	50.3	0	Iowa		
Black Hawk County, Iowa	Black Hawk County	0	9	482	3186	4559	61650	1815	66635	132820	4973	0.933609959	0.066390041	0.004201996	1	84.4	0	Iowa		
Boone County, Iowa	Boone County	1	2	134	573	6359	7015	565	13445	26410	6409	0.671641791	0.328358209	0.005132019	0	24.4	0	Iowa		
Bremer County, Iowa	Bremer County	1	0	262	615	4939	7810	605	12780	24665	4989	0.824427481	0.175572519	0.003051643	0	24.8	0	Iowa		
Buchanan County, Iowa	Buchanan County	1	0	316	484	3987	6085	510	10120	21030	4031	0.905063291	0.094936709	0.003458498	0	27.3	0	Iowa		
Buena Vista County, Iowa	Buena Vista County	1	0	161	565	1037	9320	540	10425	20445	1092	0.763975155	0.236024845	0.000383693	0	25.3	0	Iowa		
Butler County, Iowa	Butler County	1	0	288	337	4173	3175	355	7350	14935	4193	0.802083333	0.197916667	0.002040816	0	46.7	0	Iowa		
Calhoun County, Iowa	Calhoun County	1	2	201	277	1810	2505	290	4340	9875	1841	0.84079602	0.15920398	0.003456221	0	41.4	0	Iowa		
Carroll County, Iowa	Carroll County	1	2	249	879	1075	9365	705	10535	20555	1165	0.9437751	0.0562249	0.004746084	0	49	0	Iowa		
Cass County, Iowa	Cass County	2	1	297	466	1197	5160	360	6540	13435	1384	0.760942761	0.239057239	0.009021407	0	25.7	0	Iowa		
Cedar County, Iowa	Cedar County	1	0	308	467	5453	4015	620	9740	18390	5739	0.743506494	0.256493506	0.001026694	0	31.9	0	Iowa		
Cerro Gordo County, Iowa	Cerro Gordo County	0	2	265	1440	2296	19395	775	21880	43305	2494	0.890566038	0.109433962	0.009826325	1	111.5	0	Iowa		
Cherokee County, Iowa	Cherokee County	1	2	246	344	1344	4595	375	5965	11750	1375	0.715447154	0.284552846	0.000670578	0	29.7	0	Iowa		
Chickasaw County, Iowa	Chickasaw County	1	2	307	401	1982	4005	405	6055	12165	2047	0.827361564	0.172638436	0.002477291	0	33.3	0	Iowa		
Clarke County, Iowa	Clarke County	1	1	168	181	1287	3250	135	4605	9275	1357	0.738095238	0.261904762	0.007600434	0	31.4	31.4	Iowa		
Clay County, Iowa	Clay County	1	1	155	617	1469	6860	495	8350	16480	1491	0.877419355	0.122580645	0.001197605	0	24.3	0	Iowa		
Clayton County, Iowa	Clayton County	1	4	262	538	1985	5695	600	8790	17735	3099	0.885496183	0.114503817	0.003981797	0	59.3	0	Iowa	1	0
Clinton County, Iowa	Clinton County	1	1	372	1166	3867	16760	840	22305	47970	5558	0.970430108	0.029569892	0.008518269	0	64	0	Iowa	5	0
Crawford County, Iowa	Crawford County	1	0	311	430	1377	6610	380	8050	17145	1432	0.864951768	0.135048232	0.005465839	0	78.3	0	Iowa		
Dallas County, Iowa	Dallas County	1	2	186	2059	26306	15355	1895	42115	78075	26767	0.887096774	0.112903226	0.002849341	0	21.6	0	Iowa		
Davis County, Iowa	Davis County	1	1	180	179	1240	2465	225	3825	8770	1365	0.638888889	0.361111111	0.001045752	0			Iowa		
Decatur County, Iowa	Decatur County	1	2	207	134	1049	2450	215	3600	8210	1167	0.623188406	0.376811594	0.001111111	0			Iowa		
Delaware County, Iowa	Delaware County	1	1	290	491	3476	5660	815	9175	17445	3520	0.927586207	0.072413793	0.001089918	0	39.9	0	Iowa		
Des Moines County, Iowa	Des Moines County	0	6	176	1120	2171	16105	535	18795	40115	2683	0.795454545	0.204545455	0.003458367	1	75.3	18.1	Iowa	4	0
Dickinson County, Iowa	Dickinson County	2	1	88	799	1473	6910	520	8820	17045	1922	0.852272727	0.147727273	0.002834467	0	3	0	Iowa		
Dubuque County, Iowa	Dubuque County	0	4	331	2797	1613	46815	2095	50225	96360	3406	0.858006042	0.141993958	0.01184669	1	63.7	0	Iowa	9	0
Emmet County, Iowa	Emmet County	1	1	77	303	1055	3150	290	4790	9820	1639	0.779220779	0.220779221	0.000835073	0	36.2	0	Iowa		
Fayette County, Iowa	Fayette County	2	2	358	565	2793	6875	750	9725	20390	2873	0.818435754	0.181564246	0.005141388	0	8.3	0	Iowa		
Floyd County, Iowa	Floyd County	1	1	208	414	2597	5160	520	7805	16005	2638	0.865384615	0.134615385	0.00896861	0	65.2	0	Iowa		
Franklin County, Iowa	Franklin County	1	1	233	319	1376	3420	230	4840	10395	1418	0.854077253	0.145922747	0.006198347	0	26.5	0	Iowa		
Fremont County, Iowa	Fremont County	1	4	172	177	975	1540	155	3335	7020	1798	0.802325581	0.197674419	0.0011994	0	25.1	0	Iowa		
Greene County, Iowa	Greene County	1	1	170	271	1234	3065	285	4330	9085	1280	0.888235294	0.111764706	0.002309469	0	37.2	0	Iowa		
Grundy County, Iowa	Grundy County	1	1	282	299	3132	2940	300	6120	12375	3184	0.776595745	0.223404255	0.000653595	0			Iowa		
Guthrie County, Iowa	Guthrie County	1	1	269	315	2512	2700	320	5235	10690	2544	0.710037175	0.289962825	0.000764088	0	24	0	Iowa		
Hamilton County, Iowa	Hamilton County	1	2	167	384	2530	4915	355	7445	15225	2538	0.814371257	0.185628743	0	0	54	0	Iowa		
Hancock County, Iowa	Hancock County	1	1	145	314	1903	3560	400	5525	11005	1969	0.786206897	0.213793103	0.002714932	0	49.2	0	Iowa		
Hardin County, Iowa	Hardin County	1	3	251	560	1953	6370	365	8350	17325	1973	0.820717131	0.179282869	0.000958084	0	69.6	0	Iowa		
Harrison County, Iowa	Harrison County	2	0	219	350	1208	3860	335	7170	14335	3332	0.762557078	0.237442922	0.00334728	0	101.3	0	Iowa		
Henry County, Iowa	Henry County	1	1	176	493	2625	6170	360	8850	19940	2679	0.835227273	0.164772727	0	0	19.9	19.2	Iowa		
Howard County, Iowa	Howard County	1	0	217	258	791	3170	325	4550	9430	1377	0.751152074	0.248847926	0.000879121	0			Iowa		
Humboldt County, Iowa	Humboldt County	1	1	92	307	1537	3020	205	4570	9605	1545	0.826086957	0.173913043	0.000875274	0	39.3	0	Iowa		
Ida County, Iowa	Ida County	1	1	182	246	729	2705	195	3475	7040	763	0.840659341	0.159340659	0.001151079	0	8.2	0	Iowa		
Iowa County, Iowa	Iowa County	0	2	248	483	3014	5500	505	8565	16325	3063	0.870967742	0.129032258	0.001634559	0	33.9	0	Iowa		
Jackson County, Iowa	Jackson County	1	1	252	533	3354	5560	470	9275	19530	3713	0.78968254	0.21031746	0.004312668	0	34.4	0	Iowa		
Jasper County, Iowa	Jasper County	2	1	388	756	7776	9315	1015	17165	36715	7848	0.652061856	0.347938144	0.00699097	0	45.3	0	Iowa		
Jefferson County, Iowa	Jefferson County	1	3	159	686	1362	6520	915	7935	17660	1412	0.716981132	0.283018868	0.001260239	0	28.4	24.4	Iowa		
Johnson County, Iowa	Johnson County	1	5	362	3298	9898	68340	3380	78845	142005	10456	0.889502762	0.110497238	0.063212632	0	53.1	0	Iowa		
Jones County, Iowa	Jones County	1	1	239	510	3843	5435	455	9325	20480	3896	0.941422594	0.058577406	0.00310992	0			Iowa		
Keokuk County, Iowa	Keokuk County	0	1	196	240	2289	2465	285	4790	10235	2333	0.821428571	0.178571429	0.003131524	0	9.4	0	Iowa		
Kossuth County, Iowa	Kossuth County	1	2	277	556	1075	6290	420	7595	15225	1307	0.909747292	0.090252708	0.006583278	0	82.7	0	Iowa		
