State_Name,County_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%),Area (mi^2)
Michigan,Arenac,79,15325,0.848101266,0.151898734,,39.9,0,0.771767308,680.81
Arkansas,Arkansas,157,18570,0.98089172,0.01910828,0,19.7,0,0.796760502,1033.79
Virginia,Arlington,172,226090,0.970930233,0.029069767,1,2.3,2.3,0.884284057,25.96
Pennsylvania,Armstrong,263,67510,0.851711027,0.148288973,0,69.4,0,0.714875343,664.44
Texas,Armstrong,12,1915,0.916666667,0.083333333,0,32,0,0.891372329,913.81
Maine,Aroostook,223,69405,0.923766816,0.076233184,1,249.8,0,0.776837947,6828.79
Nebraska,Arthur,,435,,,,,,0.899117407,718.32
Louisiana,Ascension,212,117010,0.886792453,0.113207547,0,43.5,0,0.743835895,302.88
North Carolina,Ashe,242,26990,0.723140496,0.276859504,0,,,0.890560355,426.78
Ohio,Ashland,288,53345,0.96875,0.03125,0,43.5,0,0.834323878,426.85
Wisconsin,Ashland,83,15935,0.963855422,0.036144578,0,68.7,0,0.833592818,2293.73
Arkansas,Ashley,103,20990,1,0,0,53.9,0,0.796760502,939.08
Ohio,Ashtabula,328,99175,0.948170732,0.051829268,0,109.2,33.7,0.834323878,1368.47
Washington,Asotin,27,22115,0.962962963,0.037037037,0,,,0.710608062,640.69
Louisiana,Assumption,68,22975,0.941176471,0.058823529,0,5.1,3.1,0.743835895,364.55
Texas,Atascosa,176,47710,0.988636364,0.011363636,0,55.7,0,0.891372329,1235.61
Kansas,Atchison,201,16555,0.885572139,0.114427861,0,34,0,0.883778315,435.04
Missouri,Atchison,191,5380,0.890052356,0.109947644,0,24.9,0,0.753229107,547.36
Ohio,Athens,317,65105,0.902208202,0.097791798,0,33.5,3,0.834323878,508.54
Georgia,Atkinson,57,8270,0.947368421,0.052631579,,3.1,0,0.967672415,344.1
New Jersey,Atlantic,209,274025,0.90430622,0.09569378,1,63,44.4,0.529653452,671.45
Oklahoma,Atoka,234,13845,0.952991453,0.047008547,0,41.7,0,0.629165553,990
Mississippi,Attala,249,19085,0.791164659,0.208835341,0,,,0.731516457,737.1
Missouri,Audrain,311,25870,0.961414791,0.038585209,0,77.8,0,0.753229107,696.79
Iowa,Audubon,219,5795,0.876712329,0.123287671,0,,,0.906330826,443.58
Ohio,Auglaize,341,45870,0.985337243,0.014662757,0,52,0,0.834323878,401.72
Virginia,Augusta,353,74330,0.957507082,0.042492918,1,74,33.5,0.884284057,970.93
South Dakota,Aurora,61,2730,0.786885246,0.213114754,,23.6,0,0.857210259,712.53
Texas,Austin,227,29105,0.969162996,0.030837004,0,71.7,0,0.891372329,656.37
Alabama,Autauga,114,55050,0.964912281,0.035087719,0,50.7,0,0.880672042,604.45
North Carolina,Avery,105,17635,0.847619048,0.152380952,0,,,0.890560355,247.21
Louisiana,Avoyelles,161,41250,0.695652174,0.304347826,0,44.6,0,0.743835895,865.67
Colorado,Baca,106,3650,0.952830189,0.047169811,0,103.8,0,0.78095535,2557.09
Georgia,Bacon,42,11250,0.952380952,0.047619048,0,5.2,0,0.967672415,285.92
Texas,Bailey,4,7130,1,0,0,22.1,0,0.891372329,827.38
Florida,Baker,90,27310,0.922222222,0.077777778,0,39.9,0,0.882151679,588.89
Georgia,Baker,24,3250,0.916666667,0.083333333,0,,,0.967672415,349.17
Oregon,Baker,186,16030,0.919354839,0.080645161,0,68.2,0,0.897757095,3088.43
Alabama,Baldwin,360,199510,0.980555556,0.019444444,0,30.4,0,0.880672042,2026.93
Georgia,Baldwin,77,45810,0.974025974,0.025974026,0,27.2,0,0.967672415,267.5
Kentucky,Ballard,86,8215,0.918604651,0.081395349,,13,13,0.920222177,273.6
Maryland,Baltimore,376,621000,0.912234043,0.087765957,0,76.8,12.9,0.880315818,682.03
Maryland,Baltimore city,768,825665,0.951822917,0.048177083,0,91.1,20.7,0.880315818,92.08
South Carolina,Bamberg,85,15055,0.847058824,0.152941176,0,19,19,0.812866638,395.47
Texas,Bandera,67,21015,1,0,0,,,0.891372329,797.54
Georgia,Banks,93,18335,0.967741935,0.032258065,,13,6.9,0.967672415,233.87
Nebraska,Banner,36,795,1,0,,,,0.899117407,746.37
Idaho,Bannock,118,83815,0.906779661,0.093220339,0,88,0,0.968883613,1147.46
Michigan,Baraga,65,8610,0.907692308,0.092307692,,60,0,0.771767308,1068.85
Kansas,Barber,240,4830,0.991666667,0.008333333,0,32.9,0,0.883778315,1136.21
Alabama,Barbour,193,26615,0.968911917,0.031088083,0,14.7,0,0.880672042,904.52
West Virginia,Barbour,91,16890,0.769230769,0.230769231,0,44.7,17.6,0.694866631,342.75
North Dakota,Barnes,76,11035,0.973684211,0.026315789,0,99.7,0,0.933551831,1513.23
Massachusetts,Barnstable,105,214705,0.952380952,0.047619048,2,36.9,20.9,0.700716679,1305.62
South Carolina,Barnwell,76,21915,0.947368421,0.052631579,0,47.6,0.6,0.812866638,557.25
Kentucky,Barren,146,43285,0.979452055,0.020547945,0,18.5,0,0.920222177,499.93
Wisconsin,Barron,317,45550,0.943217666,0.056782334,0,39,0,0.833592818,890.02
Georgia,Barrow,76,73340,0.986842105,0.013157895,0,18.7,0,0.967672415,162.84
Michigan,Barry,61,59315,0.819672131,0.180327869,0,2,0,0.771767308,576.9
Missouri,Barry,162,35715,0.925925926,0.074074074,0,39.2,0,0.753229107,790.89
Indiana,Bartholomew,264,80205,0.946969697,0.053030303,0,22.3,0,0.92512153,409.36
Kansas,Barton,447,27215,0.995525727,0.004474273,0,83.4,0,0.883778315,900.46
Missouri,Barton,207,12075,0.946859903,0.053140097,0,70.2,0,0.753229107,596.72
Georgia,Bartow,215,101940,0.976744186,0.023255814,0,71.5,0,0.967672415,470.11
Texas,Bastrop,237,78285,0.991561181,0.008438819,0,95.4,0,0.891372329,895.92
Missouri,Bates,318,16515,0.921383648,0.078616352,0,67.6,0,0.753229107,851.37
Kentucky,Bath,89,12115,0.966292135,0.033707865,,,,0.920222177,283.94
Virginia,Bath,70,4560,0.942857143,0.057142857,0,14.9,14.9,0.884284057,534.56
Arkansas,Baxter,82,40990,1,0,0,35.2,0,0.796760502,586.74
Florida,Bay,122,178360,0.893442623,0.106557377,1,42.4,0,0.882151679,1033.27
Michigan,Bay,163,106105,0.81595092,0.18404908,0,68.7,0,0.771767308,630.91
Wisconsin,Bayfield,95,14985,0.821052632,0.178947368,0,,,0.833592818,2041.53
Texas,Baylor,61,3640,0.950819672,0.049180328,0,,,0.891372329,901.01
South Dakota,Beadle,150,18155,0.753333333,0.246666667,0,94.5,0,0.857210259,1264.82
Idaho,Bear Lake,33,5930,0.96969697,0.03030303,0,45.6,0,0.968883613,1049.44
North Carolina,Beaufort,156,47515,0.769230769,0.230769231,0,84.6,0,0.890560355,958.69
South Carolina,Beaufort,70,175315,0.942857143,0.057142857,0,4.3,4,0.812866638,922.88
Louisiana,Beauregard,226,36435,0.907079646,0.092920354,0,82.1,0,0.743835895,1165.99
Oklahoma,Beaver,189,5480,0.957671958,0.042328042,0,,,0.629165553,1817.58
Pennsylvania,Beaver,290,169205,0.872413793,0.127586207,0,125.4,40.5,0.714875343,443.9
Utah,Beaver,53,6435,0.981132075,0.018867925,0,34.5,0,0.783681005,2592.28
Montana,Beaverhead,234,9315,0.867521368,0.132478632,0,86.5,0,0.880305656,5572.04
Minnesota,Becker,54,33375,0.925925926,0.074074074,0,61.5,27.5,0.850650597,1445.11
Oklahoma,Beckham,312,23290,0.977564103,0.022435897,0,21.8,0,0.629165553,904.14
Pennsylvania,Bedford,413,48850,0.840193705,0.159806295,0,10.8,10.8,0.714875343,1017.4
Tennessee,Bedford,290,46330,0.965517241,0.034482759,0,26,0,0.945988112,474.83
Virginia,Bedford,196,76935,0.887755102,0.112244898,0,84.7,31.8,0.884284057,769.25
Texas,Bee,131,32705,0.992366412,0.007633588,0,,,0.891372329,880.31
New Hampshire,Belknap,108,60390,0.916666667,0.083333333,0,27.1,9,0.76406884,468.55
Kentucky,Bell,206,27675,0.878640777,0.121359223,0,78,0,0.920222177,361.35
Texas,Bell,630,330860,0.99047619,0.00952381,0,108.1,35.2,0.891372329,1087.93
Ohio,Belmont,317,69230,0.930599369,0.069400631,0,54.5,0,0.834323878,541.39
Minnesota,Beltrami,97,45645,0.979381443,0.020618557,1,20.3,0,0.850650597,3055.59
Georgia,Ben Hill,47,17405,0.957446809,0.042553191,0,18,0,0.967672415,254.03
Idaho,Benewah,41,9070,0.902439024,0.097560976,0,22.3,0,0.968883613,783.98
South Dakota,Bennett,13,3445,0.769230769,0.230769231,0,,,0.857210259,1190.59
Vermont,Bennington,215,36505,0.995348837,0.004651163,0,40.3,0,0.821290173,677.67
North Dakota,Benson,40,6800,0.85,0.15,0,58.3,31.3,0.933551831,1439.27
Colorado,Bent,68,5815,0.897058824,0.102941176,0,70.2,36.9,0.78095535,1541.12
Arkansas,Benton,385,245230,0.927272727,0.072727273,1,64.4,0,0.796760502,880.24
Indiana,Benton,151,8710,0.953642384,0.046357616,0,53,0,0.92512153,406.4
Iowa,Benton,366,25720,0.808743169,0.191256831,0,50.3,0,0.906330826,718.45
Minnesota,Benton,118,39455,0.974576271,0.025423729,,21.9,20.8,0.850650597,413
Mississippi,Benton,106,8380,0.886792453,0.113207547,0,21,0,0.731516457,408.65
Missouri,Benton,135,18825,0.903703704,0.096296296,0,,,0.753229107,752.48
Oregon,Benton,188,87455,0.941489362,0.058510638,0,52.1,0,0.897757095,678.97
Tennessee,Benton,150,16175,0.96,0.04,0,12.7,0,0.945988112,436.2
Washington,Benton,168,187520,0.970238095,0.029761905,0,158.8,64.9,0.710608062,1760.12
Michigan,Benzie,24,17460,0.791666667,0.208333333,0,,,0.771767308,859.64
New Jersey,Bergen,570,930310,0.940350877,0.059649123,0,98.3,46.9,0.529653452,246.8
South Carolina,Berkeley,206,199080,0.941747573,0.058252427,0,113.7,33.1,0.812866638,1228.07
West Virginia,Berkeley,118,110175,0.898305085,0.101694915,0,63.2,18.9,0.694866631,321.58
Pennsylvania,Berks,665,414095,0.784962406,0.215037594,0,121.6,2.1,0.714875343,865.67
Massachusetts,Berkshire,444,128565,0.896396396,0.103603604,0,84.9,30.5,0.700716679,946.27
New Mexico,Bernalillo,492,674775,0.981707317,0.018292683,1,31.7,30.2,0.698534578,1168.65
Georgia,Berrien,81,18985,0.975308642,0.024691358,0,24.1,0,0.967672415,457.78
Michigan,Berrien,267,155135,0.917602996,0.082397004,0,82.5,79.1,0.771767308,1581.38
North Carolina,Bertie,95,20325,0.905263158,0.094736842,0,11.9,0,0.890560355,741.22
Alaska,Bethel,6,17885,0.833333333,0.166666667,6,,,0.769478458,45508.46
Texas,Bexar,2240,1858700,0.999107143,0.000892857,1,166.6,81.3,0.891372329,1256.66
Alabama,Bibb,126,22570,1,0,0,25.1,5.5,0.880672042,626.16
Georgia,Bibb,209,154195,0.966507177,0.033492823,0,70.5,0,0.967672415,255.13
Louisiana,Bienville,190,13925,0.726315789,0.273684211,0,57.9,0,0.743835895,821.77
Montana,Big Horn,138,13215,0.956521739,0.043478261,0,114,0,0.880305656,5014.65
Wyoming,Big Horn,91,11930,0.901098901,0.098901099,0,75.9,0,0.803817764,3158.96
Minnesota,Big Stone,15,5100,1,0,0,41.2,0,0.850650597,527.88
North Dakota,Billings,58,935,0.982758621,0.017241379,0,22.2,0,0.933551831,1153.4
Idaho,Bingham,263,45260,0.931558935,0.068441065,0,97,0,0.968883613,2120.24
Iowa,Black Hawk,482,132820,0.933609959,0.066390041,1,84.4,0,0.906330826,571.91
Indiana,Blackford,75,12365,0.973333333,0.026666667,0,16.9,0,0.92512153,165.4
North Carolina,Bladen,124,34455,0.927419355,0.072580645,0,36.9,0,0.890560355,887.13
Idaho,Blaine,93,21425,0.892473118,0.107526882,1,15.4,0,0.968883613,2661.02
Montana,Blaine,108,6610,0.944444444,0.055555556,0,55.8,55.8,0.880305656,4238.92
Nebraska,Blaine,20,580,0.75,0.25,0,18.4,0,0.899117407,714.34
Oklahoma,Blaine,289,9775,0.878892734,0.121107266,0,56.9,4.3,0.629165553,938.88
Pennsylvania,Blair,333,125915,0.843843844,0.156156156,1,75.4,34,0.714875343,527.11
Texas,Blanco,62,10920,1,0,0,,,0.891372329,713.41
Virginia,Bland,122,6610,0.967213115,0.032786885,,,,0.884284057,358.73
Georgia,Bleckley,29,12835,0.965517241,0.034482759,0,16,0,0.967672415,219.14
Tennessee,Bledsoe,84,14075,0.964285714,0.035714286,0,,,0.945988112,406.71
Alabama,Blount,183,57705,0.912568306,0.087431694,0,13.1,0,0.880672042,650.6
Tennessee,Blount,196,126190,0.959183673,0.040816327,1,30.6,0,0.945988112,566.65
Minnesota,Blue Earth,192,65525,0.947916667,0.052083333,0,57.9,0,0.850650597,765.9
Idaho,Boise,88,6890,0.943181818,0.056818182,0,31.9,27.5,0.968883613,1906.76
Mississippi,Bolivar,281,33615,0.786476868,0.213523132,0,,,0.731516457,905.76
Missouri,Bollinger,125,12280,0.856,0.144,0,,,0.753229107,621.2
South Dakota,Bon Homme,128,7000,0.7421875,0.2578125,0,12.1,0,0.857210259,581.32
Illinois,Bond,162,17135,0.87037037,0.12962963,0,53.6,0,0.807663106,382.67
Idaho,Bonner,98,41390,0.857142857,0.142857143,0,148.1,41.5,0.968883613,1919.59
Idaho,Bonneville,205,108990,0.917073171,0.082926829,1,46.8,0,0.968883613,1900.65
Arkansas,Boone,97,37300,0.969072165,0.030927835,1,30,0,0.796760502,601.82
Illinois,Boone,109,53655,0.972477064,0.027522936,0,21.3,0,0.807663106,281.94
Indiana,Boone,286,61885,0.905594406,0.094405594,0,23.4,4.6,0.92512153,423.28
Iowa,Boone,134,26410,0.671641791,0.328358209,0,24.4,0,0.906330826,573.51
Kentucky,Boone,129,125655,0.992248062,0.007751938,1,18.5,0,0.920222177,256.96
Missouri,Boone,338,172775,0.949704142,0.050295858,1,39.7,0,0.753229107,691.31
Nebraska,Boone,239,5355,0.983263598,0.016736402,0,19.7,0,0.899117407,687.25
West Virginia,Boone,132,23645,0.818181818,0.181818182,,115.3,0,0.694866631,503.18
Texas,Borden,52,700,1,0,,,,0.891372329,906.04
Texas,Bosque,143,17955,0.993006993,0.006993007,0,39,39,0.891372329,1002.63
Louisiana,Bossier,280,124720,0.764285714,0.235714286,0,98.1,0,0.743835895,866.93
Virginia,Botetourt,199,33190,0.974874372,0.025125628,0,88.5,5.7,0.884284057,545.94
North Dakota,Bottineau,139,6650,0.848920863,0.151079137,0,67.7,0,0.933551831,1697.74
Colorado,Boulder,289,313960,0.979238754,0.020761246,0,57.2,8.8,0.78095535,751.37
Idaho,Boundary,83,11140,0.843373494,0.156626506,0,83.9,34.6,0.968883613,1278.21
Kansas,Bourbon,204,14750,0.848039216,0.151960784,0,42.1,0,0.883778315,638.82
Kentucky,Bourbon,114,20005,0.964912281,0.035087719,0,29.1,0,0.920222177,291.66
Texas,Bowie,333,93485,0.996996997,0.003003003,0,126.4,8.8,0.891372329,922.77
North Dakota,Bowman,68,3240,1,0,0,48.5,0,0.933551831,1166.99
Nebraska,Box Butte,29,11280,1,0,1,50.7,0,0.899117407,1077.84
Utah,Box Elder,183,51530,0.956284153,0.043715847,0,172.6,0,0.783681005,6729.03
Kentucky,Boyd,88,48715,0.988636364,0.011363636,0,32.8,8.6,0.920222177,161.82
Nebraska,Boyd,62,2005,0.935483871,0.064516129,0,,,0.899117407,544.59
Kentucky,Boyle,88,29650,0.954545455,0.045454545,0,12.8,0,0.920222177,182.99
Kentucky,Bracken,47,8405,0.829787234,0.170212766,,19.3,19.3,0.920222177,208.89
Florida,Bradford,62,26920,0.935483871,0.064516129,0,42,0,0.882151679,300.04
Pennsylvania,Bradford,396,61810,0.853535354,0.146464646,0,50.5,0,0.714875343,1161.03
Arkansas,Bradley,109,11095,0.990825688,0.009174312,0,38.2,0,0.796760502,654.38
Tennessee,Bradley,199,102860,0.969849246,0.030150754,0,34.4,0,0.945988112,331.5
Michigan,Branch,119,43605,0.781512605,0.218487395,0,13,9.7,0.771767308,519.49
Georgia,Brantley,54,18405,0.944444444,0.055555556,0,52.5,20.1,0.967672415,447.42
West Virginia,Braxton,149,14465,0.77852349,0.22147651,0,30.3,0,0.694866631,516.17
Texas,Brazoria,602,338420,0.96013289,0.03986711,0,105.1,0,0.891372329,1597.44
Texas,Brazos,353,209895,1,0,1,66,0,0.891372329,590.29
Kentucky,Breathitt,122,13475,0.93442623,0.06557377,0,44,0,0.920222177,495.29
Kentucky,Breckinridge,91,20000,0.978021978,0.021978022,0,29.5,0,0.920222177,585.53
Iowa,Bremer,262,24665,0.824427481,0.175572519,0,24.8,0,0.906330826,439.6
Florida,Brevard,242,560685,0.991735537,0.008264463,1,100.5,0,0.882151679,1556.95
Texas,Brewster,113,9190,0.991150442,0.008849558,0,108.6,80.1,0.891372329,6192.78
Texas,Briscoe,18,1670,1,0,0,,,0.891372329,901.59
Alaska,Bristol,3,940,0.333333333,0.666666667,1,,,0.769478458,691.19
Virginia,Bristol,51,17340,0.882352941,0.117647059,0,4.1,0,0.884284057,44.71
Massachusetts,Bristol,386,554870,0.919689119,0.080310881,1,69,14.6,0.700716679,13.16
Rhode Island,Bristol Bay,8,49230,0.875,0.125,,,,0.446867996,887.68
Montana,Broadwater,28,5690,0.928571429,0.071428571,0,42.2,0,0.880305656,1238.94
New York,Bronx,316,1436785,0.873417722,0.126582278,0,52.5,48.3,0.746636286,57.43
West Virginia,Brooke,55,23475,0.872727273,0.127272727,0,15.4,0,0.694866631,92.26
South Dakota,Brookings,229,33435,0.816593886,0.183406114,0,35,0,0.857210259,804.76
Georgia,Brooks,103,15645,0.922330097,0.077669903,0,46.9,0,0.967672415,497.77
Texas,Brooks,52,7215,0.961538462,0.038461538,0,,,0.891372329,943.61
New York,Broome,459,197380,0.954248366,0.045751634,1,100.7,26.4,0.746636286,715.46
Colorado,Broomfield,66,62450,1,0,,7.3,0,0.78095535,0
Florida,Broward,690,1863780,0.986956522,0.013043478,1,50.3,49.4,0.882151679,1319.63
Illinois,Brown,71,6835,0.845070423,0.154929577,0,,,0.807663106,307.24
Indiana,Brown,113,14965,0.840707965,0.159292035,0,11.3,0,0.92512153,316.62
Kansas,Brown,257,9810,0.945525292,0.054474708,0,57.5,0,0.883778315,572.2
Minnesota,Brown,109,25325,0.963302752,0.036697248,0,41,0,0.850650597,618.6
Nebraska,Brown,55,3020,0.890909091,0.109090909,0,,,0.899117407,1225.08
Ohio,Brown,264,44060,0.916666667,0.083333333,0,20,0,0.834323878,495.22
South Dakota,Brown,172,38430,0.86627907,0.13372093,1,82.3,0,0.857210259,1731.21
Texas,Brown,222,37935,0.981981982,0.018018018,0,50.1,0,0.891372329,956.94
Wisconsin,Brown,449,256620,0.944320713,0.055679287,1,73.6,0,0.833592818,615.42
South Dakota,Brule,38,5310,0.921052632,0.078947368,0,27.7,0,0.857210259,846.49
North Carolina,Brunswick,156,119165,0.884615385,0.115384615,0,63,0,0.890560355,1050.01
Virginia,Brunswick,149,16575,0.926174497,0.073825503,0,,,0.884284057,569.37
Georgia,Bryan,78,34105,1,0,,38.4,7.3,0.967672415,454.49
Oklahoma,Bryan,278,44530,0.928057554,0.071942446,0,80.6,0,0.629165553,943.43
Iowa,Buchanan,316,21030,0.905063291,0.094936709,0,27.3,0,0.906330826,573.35
Missouri,Buchanan,250,89415,0.9,0.1,0,42.1,0,0.753229107,414.57
Virginia,Buchanan,284,23160,0.957746479,0.042253521,0,83.8,0,0.884284057,503.88
Virginia,Buckingham,71,17030,0.957746479,0.042253521,0,16.5,0,0.884284057,583.56
Pennsylvania,Bucks,669,626220,0.783258595,0.216741405,0,83,49.4,0.714875343,622.11
Virginia,Buena Vista,18,6610,1,0,,2.7,0,0.884284057,580.07
Iowa,Buena Vista,161,20445,0.763975155,0.236024845,0,25.3,0,0.906330826,6.83
Nebraska,Buffalo,463,48400,0.987041037,0.012958963,1,60.9,0,0.899117407,975.27
South Dakota,Buffalo,25,2050,1,0,,,,0.857210259,487.43
Wisconsin,Buffalo,242,13255,0.917355372,0.082644628,0,44.2,0,0.833592818,709.58
Kentucky,Bullitt,97,77725,0.948453608,0.051546392,0,34.9,5.7,0.920222177,300.2
