County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Kusilvak Census Area,Alaska,,7995,,,4,,,0.769478458
La Crosse County,Wisconsin,246,117540,0.951219512,0.048780488,1,43.6,20,0.833592818
La Paz County,Arizona,302,20305,0.947019868,0.052980132,0,75.1,0,0.813937707
La Plata County,Colorado,95,53995,0.989473684,0.010526316,1,32.7,32.7,0.78095535
La Salle County,Texas,137,7320,1,0,0,43.8,0,0.891372329
Labette County,Kansas,349,20835,0.945558739,0.054441261,0,59.9,0,0.883778315
Lac qui Parle County,Minnesota,172,6915,0.953488372,0.046511628,0,40.6,0,0.850650597
Lackawanna County,Pennsylvania,343,213005,0.813411079,0.186588921,0,84.6,41,0.714875343
Laclede County,Missouri,119,35505,0.915966387,0.084033613,0,34.9,0,0.753229107
Lafayette County,Mississippi,266,52195,0.921052632,0.078947368,0,12.6,0,0.731516457
Lafayette County,Wisconsin,218,16795,0.949541284,0.050458716,0,,,0.833592818
Lafayette County,Missouri,246,32790,0.93495935,0.06504065,0,73.6,0,0.753229107
Lafayette County,Florida,28,8740,0.928571429,0.071428571,0,,,0.882151679
Lafayette County,Arkansas,72,7125,0.958333333,0.041666667,,40.9,0,0.796760502
Lafayette Parish,Louisiana,316,234965,0.879746835,0.120253165,1,24.3,20.9,0.743835895
Lafourche Parish,Louisiana,132,97690,0.818181818,0.181818182,0,37.1,22.6,0.743835895
LaGrange County,Indiana,100,38395,0.99,0.01,0,4.1,0,0.92512153
Lake and Peninsula Borough,Alaska,6,1410,1,0,1,,,0.769478458
Lake County,Ohio,213,229265,0.924882629,0.075117371,0,77.1,28.4,0.834323878
Lake County,Oregon,89,7800,0.943820225,0.056179775,0,15.3,0,0.897757095
Lake County,Indiana,491,489700,0.930753564,0.069246436,0,276.6,62.8,0.92512153
Lake County,Colorado,16,7400,1,0,0,,,0.78095535
Lake County,Montana,122,29310,0.778688525,0.221311475,0,38.2,0,0.880305656
Lake County,Illinois,251,702890,0.860557769,0.139442231,0,153.6,94.9,0.807663106
Lake County,Michigan,28,11415,0.857142857,0.142857143,0,15.2,0,0.771767308
Lake County,Minnesota,86,10720,0.918604651,0.081395349,0,75.2,7.9,0.850650597
Lake County,Tennessee,30,7645,0.9,0.1,0,24.3,0,0.945988112
Lake County,California,128,64075,0.890625,0.109375,0,,,0.58749769
Lake County,South Dakota,79,12330,0.835443038,0.164556962,0,19.1,0,0.857210259
Lake County,Florida,93,317585,0.978494624,0.021505376,0,28.7,0,0.882151679
Lake of the Woods County,Minnesota,61,3900,0.967213115,0.032786885,0,24.2,0,0.850650597
Lamar County,Alabama,181,14065,0.966850829,0.033149171,0,37.8,0,0.880672042
Lamar County,Mississippi,159,59625,1,0,0,24.3,22.6,0.731516457
Lamar County,Texas,306,49625,0.986928105,0.013071895,0,19.1,0,0.891372329
Lamar County,Georgia,64,18195,0.90625,0.09375,0,25.1,0,0.967672415
Lamb County,Texas,11,13560,1,0,0,37.1,0,0.891372329
Lamoille County,Vermont,122,25135,0.967213115,0.032786885,0,,,0.821290173
LaMoure County,North Dakota,60,4110,0.9,0.1,0,74.4,0,0.933551831
Lampasas County,Texas,91,20355,1,0,0,53.7,0,0.891372329
Lancaster County,Virginia,8,11055,1,0,0,,,0.884284057
Lancaster County,Pennsylvania,750,533110,0.837333333,0.162666667,1,135.1,44.4,0.714875343
Lancaster County,Nebraska,608,301705,0.950657895,0.049342105,1,111.9,33.7,0.899117407
Lancaster County,South Carolina,181,83705,0.806629834,0.193370166,0,42.3,0,0.812866638
Lander County,Nevada,21,5905,1,0,0,52,52,0.873795386
Lane County,Oregon,999,360275,0.97997998,0.02002002,1,231.4,102.2,0.897757095
Lane County,Kansas,25,1685,1,0,0,28.3,0,0.883778315
Langlade County,Wisconsin,77,19415,0.818181818,0.181818182,0,,,0.833592818
Lanier County,Georgia,28,10380,1,0,,6.9,0,0.967672415
Lapeer County,Michigan,161,88310,0.894409938,0.105590062,0,37.2,24.1,0.771767308
LaPorte County,Indiana,226,110995,0.977876106,0.022123894,0,185.4,63.5,0.92512153
Laramie County,Wyoming,250,96460,0.904,0.096,0,219.1,0,0.803817764
Larimer County,Colorado,543,325230,0.963167587,0.036832413,0,99.1,0,0.78095535
Larue County,Kentucky,54,14125,0.925925926,0.074074074,0,4.5,3,0.920222177
Las Animas County,Colorado,205,14320,0.87804878,0.12195122,0,136.6,60.7,0.78095535
LaSalle County,Illinois,529,111935,0.913043478,0.086956522,0,166.6,25.5,0.807663106
LaSalle Parish,Louisiana,206,14925,0.946601942,0.053398058,0,13.4,0,0.743835895
Lassen County,California,107,31945,0.91588785,0.08411215,0,161,0,0.58749769
Latah County,Idaho,114,38595,0.947368421,0.052631579,0,19,0,0.968883613
Latimer County,Oklahoma,199,10645,0.989949749,0.010050251,0,35.4,0,0.629165553
Lauderdale County,Alabama,265,92640,0.928301887,0.071698113,0,16.2,0,0.880672042
Lauderdale County,Mississippi,489,79235,0.940695297,0.059304703,1,102.1,30.2,0.731516457
Lauderdale County,Tennessee,266,27260,0.936090226,0.063909774,0,26,26,0.945988112
Laurel County,Kentucky,136,59950,0.875,0.125,0,27.6,0,0.920222177
Laurens County,South Carolina,260,66440,0.95,0.05,0,93.3,0,0.812866638
Laurens County,Georgia,176,47800,0.897727273,0.102272727,0,49,0,0.967672415
Lavaca County,Texas,262,19655,0.984732824,0.015267176,0,24.9,0,0.891372329
Lawrence County,Ohio,276,61505,0.891304348,0.108695652,0,18.3,0,0.834323878
Lawrence County,Alabama,214,33435,0.96728972,0.03271028,0,27.8,0,0.880672042
Lawrence County,Indiana,165,45695,0.933333333,0.066666667,0,25,0,0.92512153
Lawrence County,Pennsylvania,264,88530,0.825757576,0.174242424,0,69.3,3.9,0.714875343
Lawrence County,Illinois,178,16580,0.848314607,0.151685393,0,21.3,0,0.807663106
Lawrence County,Mississippi,138,12605,0.891304348,0.108695652,0,35.7,0,0.731516457
Lawrence County,Tennessee,211,42405,0.985781991,0.014218009,0,41.1,0,0.945988112
Lawrence County,Missouri,231,38205,0.943722944,0.056277056,0,54.8,0,0.753229107
Lawrence County,South Dakota,129,24860,0.945736434,0.054263566,0,16.7,0,0.857210259
Lawrence County,Kentucky,103,15870,0.922330097,0.077669903,,36.8,0,0.920222177
Lawrence County,Arkansas,127,16915,0.937007874,0.062992126,0,62.4,23.1,0.796760502
Le Flore County,Oklahoma,461,49885,0.928416486,0.071583514,0,102.7,0,0.629165553
Le Sueur County,Minnesota,68,27650,0.955882353,0.044117647,0,29.8,0,0.850650597
Lea County,New Mexico,10,68930,1,0,1,82,0,0.698534578
Leake County,Mississippi,206,23010,0.932038835,0.067961165,0,,,0.731516457
Leavenworth County,Kansas,240,78785,0.983333333,0.016666667,0,34.3,0,0.883778315
Lebanon County,Pennsylvania,220,136950,0.881818182,0.118181818,0,22.6,0,0.714875343
Lee County,Virginia,152,24910,0.907894737,0.092105263,0,68.4,0,0.884284057
Lee County,Alabama,214,153945,0.953271028,0.046728972,0,60.5,0,0.880672042
Lee County,Illinois,369,34720,0.899728997,0.100271003,0,46.4,0,0.807663106
Lee County,Mississippi,381,85280,0.973753281,0.026246719,1,52.7,0,0.731516457
Lee County,North Carolina,95,59540,0.957894737,0.042105263,0,47.2,22.5,0.890560355
Lee County,Iowa,218,35170,0.876146789,0.123853211,0,61,19.8,0.906330826
Lee County,South Carolina,94,18190,0.872340426,0.127659574,0,10.7,0,0.812866638
Lee County,Texas,139,16755,1,0,0,35.9,0,0.891372329
Lee County,Florida,383,680970,0.997389034,0.002610966,1,35.7,22.2,0.882151679
Lee County,Georgia,33,29135,1,0,0,25.8,0,0.967672415
Lee County,Kentucky,43,6895,0.953488372,0.046511628,,32.9,0,0.920222177
Lee County,Arkansas,98,9780,0.93877551,0.06122449,0,19.4,0,0.796760502
Leelanau County,Michigan,7,21765,1,0,0,,,0.771767308
Leflore County,Mississippi,139,30500,0.935251799,0.064748201,0,52.4,33.8,0.731516457
Lehigh County,Pennsylvania,378,358790,0.857142857,0.142857143,1,54.2,1.8,0.714875343
Lemhi County,Idaho,109,7745,0.917431193,0.082568807,0,,,0.968883613
Lenawee County,Michigan,224,98675,0.9375,0.0625,0,65.6,0,0.771767308
Lenoir County,North Carolina,131,58345,0.93129771,0.06870229,0,25.6,0,0.890560355
Leon County,Texas,164,16925,0.987804878,0.012195122,0,77.1,0,0.891372329
Leon County,Florida,157,284790,0.968152866,0.031847134,1,34.2,0,0.882151679
Leslie County,Kentucky,111,10870,0.675675676,0.324324324,0,,,0.920222177
Letcher County,Kentucky,159,23380,0.855345912,0.144654088,0,34.9,0,0.920222177
Levy County,Florida,76,39705,0.907894737,0.092105263,0,19.3,0,0.882151679
Lewis and Clark County,Montana,207,65990,0.927536232,0.072463768,1,81.7,0,0.880305656
Lewis County,Idaho,14,3825,0.928571429,0.071428571,0,1.6,0,0.968883613
Lewis County,New York,168,27105,0.785714286,0.214285714,0,47.6,0,0.746636286
Lewis County,Washington,402,75725,0.967661692,0.032338308,0,76.1,45,0.710608062
Lewis County,Tennessee,134,11905,0.970149254,0.029850746,0,11,0,0.945988112
Lewis County,West Virginia,160,16420,0.75625,0.24375,0,14.6,0,0.694866631
Lewis County,Missouri,167,10145,0.910179641,0.089820359,0,21.8,0,0.753229107
Lewis County,Kentucky,143,13645,0.944055944,0.055944056,,41.6,41.6,0.920222177
Lexington city,Virginia,9,7035,0.888888889,0.111111111,0,,,0.884284057
Lexington County,South Carolina,232,277700,0.875,0.125,1,85.7,22.9,0.812866638
Liberty County,Montana,10,2290,0.9,0.1,0,26.2,26.2,0.880305656
Liberty County,Texas,194,78600,0.979381443,0.020618557,0,112.8,35.2,0.891372329
Liberty County,Florida,77,8285,0.87012987,0.12987013,,36.6,0,0.882151679
Liberty County,Georgia,95,63950,1,0,0,33.6,17.2,0.967672415
Licking County,Ohio,455,169760,0.87032967,0.12967033,0,62.7,0,0.834323878
Limestone County,Alabama,311,90255,0.971061093,0.028938907,0,42.1,0,0.880672042
Limestone County,Texas,282,23470,0.936170213,0.063829787,0,35.1,0,0.891372329
Lincoln County,Nevada,20,5155,1,0,0,105.5,0,0.873795386
Lincoln County,Wyoming,130,18545,0.930769231,0.069230769,0,119.3,0,0.803817764
Lincoln County,Oregon,188,46685,0.920212766,0.079787234,0,33.9,0,0.897757095
Lincoln County,Colorado,138,5515,0.898550725,0.101449275,0,71.3,0,0.78095535
Lincoln County,Maine,60,34165,0.883333333,0.116666667,0,28.8,0,0.776837947
Lincoln County,Montana,189,19270,0.851851852,0.148148148,0,129,104.4,0.880305656
Lincoln County,Idaho,53,5290,0.79245283,0.20754717,0,49.2,0,0.968883613
Lincoln County,Mississippi,391,34690,0.823529412,0.176470588,0,51.3,24,0.731516457
Lincoln County,Oklahoma,491,34640,0.765784114,0.234215886,0,35.8,0,0.629165553
Lincoln County,Kansas,238,3135,0.903361345,0.096638655,0,35.9,0,0.883778315
Lincoln County,North Carolina,154,79785,0.928571429,0.071428571,0,29.8,0,0.890560355
Lincoln County,Nebraska,197,35775,0.939086294,0.060913706,1,143,0,0.899117407
Lincoln County,Minnesota,105,5795,0.847619048,0.152380952,0,23.3,0,0.850650597
Lincoln County,Washington,177,10325,0.926553672,0.073446328,0,154.9,81.6,0.710608062
Lincoln County,Tennessee,301,33580,0.973421927,0.026578073,0,6.2,0,0.945988112
Lincoln County,New Mexico,132,19725,0.96969697,0.03030303,0,74.4,0,0.698534578
Lincoln County,West Virginia,116,21480,0.74137931,0.25862069,0,42.4,0,0.694866631
Lincoln County,Wisconsin,156,28170,0.942307692,0.057692308,0,48.7,0,0.833592818
Lincoln County,Missouri,181,54285,0.950276243,0.049723757,0,21.1,0,0.753229107
Lincoln County,South Dakota,199,51395,0.748743719,0.251256281,0,42.4,0,0.857210259
Lincoln County,Georgia,32,7710,1,0,0,,,0.967672415
Lincoln County,Kentucky,136,24425,0.948529412,0.051470588,0,24,0,0.920222177
Lincoln County,Arkansas,110,13935,0.972727273,0.027272727,0,13.6,0,0.796760502
Lincoln Parish,Louisiana,178,47480,0.814606742,0.185393258,0,27.2,0,0.743835895
Linn County,Oregon,561,119860,0.821746881,0.178253119,0,145.7,36,0.897757095
Linn County,Kansas,253,9525,0.976284585,0.023715415,0,46.4,0,0.883778315
Linn County,Iowa,485,218075,0.956701031,0.043298969,1,105.5,0,0.906330826
Linn County,Missouri,323,12320,0.866873065,0.133126935,0,37.8,10,0.753229107
Lipscomb County,Texas,39,3505,0.974358974,0.025641026,0,11.1,0,0.891372329
Litchfield County,Connecticut,456,185140,0.914473684,0.085526316,0,66.5,16,0.649393876
Little River County,Arkansas,86,12615,0.906976744,0.093023256,0,85.4,0,0.796760502
Live Oak County,Texas,219,11975,0.98173516,0.01826484,0,47.3,0,0.891372329
Livingston County,Illinois,583,37280,0.888507719,0.111492281,0,117,29.6,0.807663106
Livingston County,Michigan,163,185840,0.871165644,0.128834356,0,57.5,0,0.771767308
Livingston County,New York,162,64620,0.944444444,0.055555556,0,57.2,0,0.746636286
Livingston County,Missouri,189,15055,0.814814815,0.185185185,0,49.6,0,0.753229107
Livingston County,Kentucky,105,9355,0.971428571,0.028571429,0,3.2,0,0.920222177
Livingston Parish,Louisiana,255,135925,0.91372549,0.08627451,0,24.4,0,0.743835895
Llano County,Texas,84,19625,1,0,0,20.1,0,0.891372329
Logan County,Ohio,289,45390,0.98615917,0.01384083,0,52.6,0,0.834323878
Logan County,Colorado,182,21860,0.917582418,0.082417582,0,111.1,0,0.78095535
Logan County,Illinois,291,29820,0.89347079,0.10652921,0,78,27.2,0.807663106
Logan County,Oklahoma,300,45170,0.743333333,0.256666667,0,33.5,0,0.629165553
Logan County,Kansas,55,2800,0.981818182,0.018181818,0,40,0,0.883778315
Logan County,Nebraska,4,830,1,0,0,,,0.899117407
Logan County,North Dakota,13,1940,0.923076923,0.076923077,0,44.1,0,0.933551831
Logan County,West Virginia,234,35165,0.794871795,0.205128205,0,86.5,0,0.694866631
Logan County,Kentucky,133,26755,0.984962406,0.015037594,0,38.3,0,0.920222177
Logan County,Arkansas,153,21935,0.934640523,0.065359477,0,,,0.796760502
Long County,Georgia,47,17245,1,0,,13.4,13.4,0.967672415
Lonoke County,Arkansas,185,71280,0.951351351,0.048648649,0,13.4,13.4,0.796760502
Lorain County,Ohio,379,304090,0.894459103,0.105540897,0,138,27.1,0.834323878
Los Alamos County,New Mexico,3,17895,0.666666667,0.333333333,0,,,0.698534578
Los Angeles County,California,3538,10057155,0.962690786,0.037309214,3,509.2,245,0.58749769
Loudon County,Tennessee,113,50635,0.96460177,0.03539823,0,26.4,0,0.945988112
Loudoun County,Virginia,404,362435,0.982673267,0.017326733,1,,,0.884284057
Louisa County,Virginia,93,34350,0.967741935,0.032258065,0,41.1,2.4,0.884284057
Louisa County,Iowa,150,11250,0.886666667,0.113333333,,19.4,0,0.906330826
Loup County,Nebraska,20,540,0.9,0.1,,,,0.899117407
Love County,Oklahoma,131,9770,0.961832061,0.038167939,0,24.8,24.8,0.629165553
Loving County,Texas,4,75,1,0,,,,0.891372329
Lowndes County,Alabama,157,10565,0.987261146,0.012738854,0,46.7,0,0.880672042
Lowndes County,Mississippi,245,59785,0.987755102,0.012244898,1,93.6,0,0.731516457
Lowndes County,Georgia,132,113900,0.954545455,0.045454545,1,96.1,0,0.967672415
Lubbock County,Texas,235,294680,0.982978723,0.017021277,1,109.7,0,0.891372329
Lucas County,Ohio,406,434800,0.965517241,0.034482759,1,112.4,31.9,0.834323878
Lucas County,Iowa,195,8700,0.671794872,0.328205128,0,51.5,31.1,0.906330826
Luce County,Michigan,28,6450,0.821428571,0.178571429,0,30.7,0,0.771767308
Lumpkin County,Georgia,51,31095,0.980392157,0.019607843,0,,,0.967672415
Luna County,New Mexico,107,24625,0.990654206,0.009345794,0,118.9,55.4,0.698534578
Lunenburg County,Virginia,89,12450,0.921348315,0.078651685,0,5.9,0,0.884284057
Luzerne County,Pennsylvania,436,318915,0.733944954,0.266055046,1,142.7,0,0.714875343
Lycoming County,Pennsylvania,471,116315,0.93418259,0.06581741,1,64.7,0,0.714875343
Lyman County,South Dakota,115,3855,0.895652174,0.104347826,0,,,0.857210259
Lynchburg city,Virginia,89,78755,0.93258427,0.06741573,0,37.6,12.9,0.884284057
Lynn County,Texas,5,5725,1,0,0,3.9,0,0.891372329
Lyon County,Nevada,53,51895,0.924528302,0.075471698,0,54.4,10.9,0.873795386
Lyon County,Kansas,490,33400,0.975510204,0.024489796,0,37.1,25,0.883778315
Lyon County,Iowa,278,11730,0.78057554,0.21942446,0,21.6,0,0.906330826
Lyon County,Minnesota,235,25670,0.974468085,0.025531915,0,63.9,0,0.850650597
Lyon County,Kentucky,80,8325,0.975,0.025,,14.9,0,0.920222177
Mackinac County,Michigan,64,11000,0.90625,0.09375,0,40,0,0.771767308
Macomb County,Michigan,412,859705,0.912621359,0.087378641,0,45.1,0,0.771767308
Macon County,Alabama,177,19685,0.870056497,0.129943503,0,26.4,0,0.880672042
Macon County,Illinois,346,108405,0.852601156,0.147398844,1,120.8,0,0.807663106
Macon County,North Carolina,212,33990,0.830188679,0.169811321,0,1.5,1.5,0.890560355
Macon County,Tennessee,168,22925,0.982142857,0.017857143,0,,,0.945988112
Macon County,Missouri,290,15400,0.951724138,0.048275862,0,69.9,26.6,0.753229107
Macon County,Georgia,78,13845,0.948717949,0.051282051,0,44.7,0,0.967672415
Macoupin County,Illinois,245,46480,0.865306122,0.134693878,0,109.8,41,0.807663106
Madera County,California,241,153365,0.846473029,0.153526971,0,59.3,26.5,0.58749769
Madison County,Ohio,190,43535,0.905263158,0.094736842,0,27.3,0,0.834323878
Madison County,Virginia,79,13120,0.987341772,0.012658228,0,,,0.884284057
Madison County,Alabama,690,349975,0.97826087,0.02173913,1,52.5,4.8,0.880672042
Madison County,Indiana,297,129860,0.976430976,0.023569024,0,82.3,0,0.92512153
Madison County,Montana,91,7810,0.923076923,0.076923077,0,32.5,0,0.880305656
Madison County,Idaho,72,38115,0.944444444,0.055555556,0,31.8,0,0.968883613
Madison County,Illinois,520,266760,0.936538462,0.063461538,0,182,27,0.807663106
Madison County,Mississippi,322,101790,0.913043478,0.086956522,0,35.1,8.8,0.731516457
Madison County,New York,173,72090,0.861271676,0.138728324,0,25.2,13.8,0.746636286
Madison County,North Carolina,239,21130,0.815899582,0.184100418,0,28.3,0,0.890560355
Madison County,Nebraska,296,35125,0.942567568,0.057432432,0,25.7,0,0.899117407
Madison County,Iowa,225,15660,0.626666667,0.373333333,0,8.4,0,0.906330826
Madison County,Tennessee,423,98130,0.95035461,0.04964539,1,64.9,0,0.945988112
Madison County,Texas,84,13845,0.988095238,0.011904762,0,13.8,0,0.891372329
Madison County,Missouri,117,12405,0.871794872,0.128205128,0,,,0.753229107
Madison County,Florida,59,18560,0.983050847,0.016949153,0,60.7,0,0.882151679
Madison County,Georgia,73,28360,0.945205479,0.054794521,,19.3,0,0.967672415
Madison County,Kentucky,157,87325,0.942675159,0.057324841,0,28,0,0.920222177
Madison County,Arkansas,148,15760,0.783783784,0.216216216,0,,,0.796760502
Madison Parish,Louisiana,108,11805,0.898148148,0.101851852,0,44.3,0,0.743835895
Magoffin County,Kentucky,102,12885,0.950980392,0.049019608,,13.7,0,0.920222177
Mahaska County,Iowa,235,22325,0.676595745,0.323404255,0,25.5,0,0.906330826
Mahnomen County,Minnesota,41,5480,0.853658537,0.146341463,0,26.9,0,0.850650597
Mahoning County,Ohio,368,233015,0.948369565,0.051630435,0,72.7,10,0.834323878
Major County,Oklahoma,265,7720,0.901886792,0.098113208,0,14.3,12.6,0.629165553
Malheur County,Oregon,180,30475,0.977777778,0.022222222,0,49.6,0,0.897757095
Manassas city,Virginia,12,41150,1,0,0,6.8,4.8,0.884284057
Manassas Park city,Virginia,1,15825,1,0,,1.4,1.4,0.884284057
Manatee County,Florida,201,353410,1,0,1,39.8,0,0.882151679
Manistee County,Michigan,35,24465,0.885714286,0.114285714,0,12,0,0.771767308
Manitowoc County,Wisconsin,264,80180,0.920454545,0.079545455,0,42,0,0.833592818
Marathon County,Wisconsin,529,135365,0.901701323,0.098298677,1,55,0,0.833592818
Marengo County,Alabama,203,20065,0.9408867,0.0591133,0,110.6,0,0.880672042
Maricopa County,Arizona,2702,4088550,0.998519615,0.001480385,1,296.2,68.9,0.813937707
Maries County,Missouri,69,8985,0.927536232,0.072463768,0,,,0.753229107
Marin County,California,205,259360,0.907317073,0.092682927,0,11,0,0.58749769
Marinette County,Wisconsin,139,41090,0.964028777,0.035971223,0,125.2,0,0.833592818
Marion County,Ohio,237,65620,0.957805907,0.042194093,0,77.3,0,0.834323878
Marion County,Oregon,372,326525,0.959677419,0.040322581,0,122.1,44.7,0.897757095
Marion County,Alabama,255,30240,0.980392157,0.019607843,0,21.4,0,0.880672042
Marion County,Indiana,942,932140,0.942675159,0.057324841,1,140.7,38.1,0.92512153
Marion County,Illinois,296,38505,0.935810811,0.064189189,0,103.8,30.4,0.807663106
Marion County,Mississippi,211,25810,0.857819905,0.142180095,0,31,0,0.731516457
Marion County,Kansas,328,12215,0.87804878,0.12195122,0,90.1,19.5,0.883778315
Marion County,Iowa,224,33195,0.772321429,0.227678571,0,55.2,0,0.906330826
Marion County,Tennessee,173,28365,0.98265896,0.01734104,0,19.4,0,0.945988112
Marion County,West Virginia,191,56715,0.790575916,0.209424084,0,37.3,0,0.694866631
Marion County,South Carolina,112,31975,0.955357143,0.044642857,0,44.6,7.7,0.812866638
Marion County,Texas,191,10190,0.984293194,0.015706806,0,33.6,13.6,0.891372329
Marion County,Missouri,189,28860,0.894179894,0.105820106,0,52.9,0,0.753229107
Marion County,Florida,69,340340,0.985507246,0.014492754,0,78.5,0,0.882151679
Marion County,Georgia,46,8645,0.630434783,0.369565217,0,17.9,0,0.967672415
Marion County,Kentucky,147,19495,0.959183673,0.040816327,0,,,0.920222177
Marion County,Arkansas,63,16405,0.984126984,0.015873016,0,23.8,0,0.796760502
Mariposa County,California,115,17645,0.8,0.2,0,,,0.58749769
Marlboro County,South Carolina,98,27700,0.959183673,0.040816327,0,46.1,10.2,0.812866638
Marquette County,Michigan,143,67420,0.797202797,0.202797203,0,116,0,0.771767308
Marquette County,Wisconsin,81,15080,0.925925926,0.074074074,0,20.7,0,0.833592818
Marshall County,Alabama,170,94535,0.911764706,0.088235294,0,16.3,0,0.880672042
Marshall County,Indiana,185,46835,0.951351351,0.048648649,0,90.9,0,0.92512153
Marshall County,Illinois,156,12060,0.923076923,0.076923077,0,44.4,0,0.807663106
Marshall County,Mississippi,259,36195,0.895752896,0.104247104,0,56.5,0,0.731516457
Marshall County,Oklahoma,78,16080,0.923076923,0.076923077,0,22.1,0,0.629165553
Marshall County,Kansas,402,9965,0.880597015,0.119402985,0,69.9,0,0.883778315
Marshall County,Iowa,312,40735,0.666666667,0.333333333,0,40.1,0,0.906330826
Marshall County,Minnesota,213,9405,0.971830986,0.028169014,0,125,0,0.850650597
Marshall County,Tennessee,239,31335,0.9958159,0.0041841,0,28.9,0,0.945988112
Marshall County,West Virginia,85,32295,0.705882353,0.294117647,0,29.6,0,0.694866631
Marshall County,South Dakota,37,4745,0.702702703,0.297297297,0,27.7,0,0.857210259
Marshall County,Kentucky,205,31215,0.956097561,0.043902439,0,18,0,0.920222177
Martin County,Indiana,104,10220,0.865384615,0.134615385,,18.3,0,0.92512153
Martin County,North Carolina,124,23510,0.967741935,0.032258065,0,36.1,0,0.890560355
Martin County,Minnesota,162,20195,0.907407407,0.092592593,0,58.1,0,0.850650597
Martin County,Texas,122,5450,1,0,0,13,0,0.891372329
Martin County,Florida,127,153590,1,0,0,74.3,23.2,0.882151679
Martin County,Kentucky,68,12480,0.897058824,0.102941176,0,23.4,0,0.920222177
Martinsville city,Virginia,10,13550,1,0,0,5,0,0.884284057
Mason County,Illinois,81,13930,0.950617284,0.049382716,0,48.2,0,0.807663106
Mason County,Michigan,65,28755,0.830769231,0.169230769,0,40.2,0,0.771767308
Mason County,Washington,127,61060,0.984251969,0.015748031,0,53.9,0,0.710608062
Mason County,West Virginia,131,27060,0.778625954,0.221374046,0,74.3,0,0.694866631
Mason County,Texas,118,4065,1,0,0,,,0.891372329
Mason County,Kentucky,100,17230,0.9,0.1,0,33.6,19.3,0.920222177
Massac County,Illinois,130,14885,0.930769231,0.069230769,0,39.5,0,0.807663106
Matagorda County,Texas,686,36720,0.986880466,0.013119534,0,70.2,0,0.891372329
Matanuska-Susitna Borough,Alaska,115,98680,0.939130435,0.060869565,0,201.3,193.8,0.769478458
Mathews County,Virginia,6,8850,0.666666667,0.333333333,0,,,0.884284057
Maui County,Hawaii,173,162455,0.884393064,0.115606936,5,4.2,4.2,0.564047103
Maury County,Tennessee,421,85765,0.923990499,0.076009501,0,57.9,0,0.945988112
Maverick County,Texas,57,56830,1,0,0,29.5,0,0.891372329
Mayes County,Oklahoma,231,40925,0.87012987,0.12987013,0,44.4,0,0.629165553
McClain County,Oklahoma,248,37220,0.955645161,0.044354839,0,18.4,18.4,0.629165553
McCone County,Montana,44,1680,0.977272727,0.022727273,0,13.7,0,0.880305656
McCook County,South Dakota,98,5615,0.857142857,0.142857143,0,12.1,0,0.857210259
McCormick County,South Carolina,67,9805,0.970149254,0.029850746,0,31.4,0,0.812866638
McCracken County,Kentucky,202,65290,0.925742574,0.074257426,1,61.8,0,0.920222177
McCreary County,Kentucky,38,17850,0.842105263,0.157894737,0,33.4,8.1,0.920222177
McCulloch County,Texas,125,8240,0.984,0.016,0,16.8,0,0.891372329
McCurtain County,Oklahoma,261,33070,0.900383142,0.099616858,0,79.9,0,0.629165553
McDonald County,Missouri,141,22720,0.886524823,0.113475177,0,21.1,0,0.753229107
McDonough County,Illinois,201,31725,0.905472637,0.094527363,0,75,35.2,0.807663106
McDowell County,North Carolina,227,45015,0.933920705,0.066079295,0,78.3,0,0.890560355
McDowell County,West Virginia,221,20275,0.660633484,0.339366516,0,114.2,0,0.694866631
McDuffie County,Georgia,50,21560,0.96,0.04,0,16.8,0,0.967672415
McHenry County,Illinois,225,307085,0.884444444,0.115555556,0,85.2,35.4,0.807663106
McHenry County,North Dakota,114,5910,0.771929825,0.228070175,0,135.8,37.1,0.933551831
McIntosh County,Oklahoma,202,20160,0.905940594,0.094059406,0,24.8,0,0.629165553
McIntosh County,North Dakota,11,2735,0.909090909,0.090909091,0,12.2,0,0.933551831
McIntosh County,Georgia,57,13940,0.98245614,0.01754386,0,,,0.967672415
McKean County,Pennsylvania,219,42610,0.726027397,0.273972603,1,89.2,0,0.714875343
McKenzie County,North Dakota,117,10720,0.957264957,0.042735043,0,8.6,0,0.933551831
McKinley County,New Mexico,279,74345,0.946236559,0.053763441,0,163.9,92.9,0.698534578
McLean County,Illinois,623,173255,0.972712681,0.027287319,1,130.4,42.6,0.807663106
McLean County,North Dakota,58,9575,0.965517241,0.034482759,0,107.9,0,0.933551831
McLean County,Kentucky,75,9490,0.92,0.08,0,,,0.920222177
McLennan County,Texas,58,243395,0.982758621,0.017241379,1,92.1,28.4,0.891372329
McLeod County,Minnesota,77,35925,0.974025974,0.025974026,0,24.5,0,0.850650597
McMinn County,Tennessee,219,52605,0.99086758,0.00913242,0,57.1,0,0.945988112
McMullen County,Texas,14,670,0.928571429,0.071428571,0,,,0.891372329
McNairy County,Tennessee,219,26055,0.98630137,0.01369863,0,42.2,0,0.945988112
McPherson County,Kansas,581,29165,0.984509466,0.015490534,0,60,0,0.883778315
McPherson County,Nebraska,,425,,,0,,,0.899117407
McPherson County,South Dakota,14,2250,0.928571429,0.071428571,0,,,0.857210259
